t_index	term	df
1	0	5
2	1	49
3	10	138
4	100	49
5	1000	1
6	10016	1
7	10017	1
8	10018	1
9	101	2
10	10115	1
11	103	2
12	104	1
13	106th	1
14	107th	2
15	108	2
16	10th	9
17	11	59
18	110	1
19	116	2
20	118	40
21	119	1
22	11th	6
23	12	132
24	120	2
25	1200	2
26	124	2
27	125	5
28	12501	1
29	12th	8
30	13	77
31	131	7
32	132	1
33	134	1
34	135	1
35	13th	6
36	14	48
37	140	11
38	143	2
39	14th	2
40	15	50
41	150	13
42	151	2
43	152	1
44	155	2
45	15th	2
46	16	48
47	160	2
48	1600	1
49	1640	1
50	165	1
51	168	1
52	17	184
53	17061	1
54	17090	1
55	175	1
56	176	4
57	177	1
58	178	2
59	17th	1
60	18	36
61	180	1
62	1800	1
63	182	2
64	1839	1
65	185	2
66	187	1
67	1876	1
68	188	1
69	1888	1
70	18th	2
71	19	48
72	190	3
73	1907	3
74	1920	1
75	193	1
76	19303	1
77	1931	1
78	1932	2
79	1945	3
80	1947	2
81	1948	1
82	1950	2
83	1953	1
84	1957	1
85	1960	6
86	1961	1
87	1962	1
88	1963	1
89	1964	1
90	1967	5
91	1969	2
92	1970	9
93	1972	3
94	1973	4
95	1974	4
96	1975	3
97	1976	1
98	1977	4
99	1979	2
100	1980	28
101	1981	9
102	1982	2
103	1983	9
104	1984	2
105	1985	13
106	1986	10
107	1987	6
108	1988	5
109	1989	5
110	1990	29
111	1991	13
112	1992	23
113	1993	20
114	1994	19
115	1995	26
116	1996	56
117	1997	27
118	1998	69
119	1999	35
120	19th	1
121	1st	1
122	2	55
123	20	112
124	200	44
125	2000	17
126	2001	7
127	2002	5
128	20036	1
129	2004	3
130	2005	2
131	204	1
132	209	4
133	20904	1
134	20th	5
135	21	14
136	215	4
137	215000	1
138	216	3
139	219	4
140	21st	3
141	22	35
142	222	5
143	223	2
144	22314	1
145	224	26
146	2247	1
147	225	1
148	22nd	3
149	23	39
150	230	3
151	231	1
152	232	4
153	23261	1
154	234	2
155	238	4
156	23rd	1
157	24	61
158	240	1
159	241	4
160	245	2
161	246	5
162	247	1
163	24th	5
164	25	65
165	250	4
166	2500	4
167	253	2
168	259	1
169	25th	6
170	26	16
171	264	1
172	26484	1
173	269	1
174	27	7
175	270	8
176	271	1
177	275	6
178	28	14
179	283	2
180	2850	1
181	29	12
182	293	3
183	295	1
184	2nd	3
185	3	59
186	30	83
187	300	24
188	30303	1
189	31	16
190	310	2
191	31521	1
192	316	2
193	31st	1
194	32	9
195	325	1
196	33	32
197	330	3
198	333	1
199	335	5
200	33rd	1
201	34	14
202	348	1
203	35	45
204	350	13
205	36	16
206	37	8
207	38	7
208	387	1
209	38th	2
210	39	40
211	3rd	6
212	4	25
213	40	78
214	400	23
215	403	2
216	40th	1
217	41	6
218	41st	1
219	42	8
220	421	1
221	426	1
222	43	6
223	435	3
224	43rd	7
225	44	4
226	440	1
227	45	16
228	4500	1
229	456	1
230	46	8
231	466	1
232	47	6
233	475	1
234	48	13
235	48th	1
236	49	1
237	49560	1
238	5	48
239	50	67
240	500	22
241	5000	2
242	505	1
243	51	15
244	51st	2
245	52	11
246	52nd	1
247	53	4
248	54	14
249	55	5
250	550	2
251	56	6
252	565	1
253	57	2
254	58	7
255	580	1
256	59	9
257	5th	24
258	6	41
259	60	29
260	600	18
261	6000	2
262	600th	1
263	60189	1
264	609	2
265	61	4
266	615	1
267	62	9
268	620	1
269	627	1
270	63	6
271	64	2
272	646	5
273	648	1
274	65	15
275	650	2
276	651	1
277	66	2
278	660	1
279	67	2
280	672	1
281	675	3
282	677	1
283	68	2
284	680	1
285	682	1
286	683	1
287	683rd	1
288	687	1
289	69	2
290	7	38
291	70	19
292	700	8
293	7000	1
294	701	1
295	70200	1
296	71	1
297	711	1
298	726	2
299	74	4
300	740	1
301	747	1
302	75	7
303	750	1
304	752	1
305	76	1
306	762	1
307	77	2
308	7729	1
309	776	1
310	7777	1
311	78	5
312	79	7
313	7th	2
314	8	42
315	80	15
316	800	7
317	81	3
318	83	3
319	832	1
320	8320	1
321	84	1
322	85	3
323	850	2
324	85260	1
325	86th	2
326	8th	5
327	9	28
328	90	19
329	900	1
330	90069	1
331	903	1
332	911	1
333	918	1
334	93	2
335	930	2
336	93117	1
337	95	4
338	96	4
339	97	1
340	98	2
341	98133	1
342	98481	1
343	989	1
344	99	8
345	9th	3
346	aan	1
347	aaron	2
348	ab	1
349	aback	1
350	abahd	1
351	abandon	34
352	abc	41
353	abdallah	2
354	abdel	3
355	abdomin	2
356	abduct	2
357	abdul	5
358	abdullah	39
359	abdurahman	1
360	aberr	1
361	abid	7
362	abidjan	21
363	abijan	1
364	abil	30
365	abl	105
366	ablaz	2
367	abnorm	1
368	aboard	85
369	abobo	1
370	abolish	4
371	abort	4
372	abou	1
373	abound	4
374	abovo	1
375	abraham	7
376	abrego	1
377	abroad	28
378	abrog	2
379	abrupt	1
380	abruptli	3
381	abscam	1
382	absenc	3
383	absent	4
384	absente	7
385	absentia	3
386	absolut	39
387	absorb	9
388	abstent	1
389	abu	7
390	abund	2
391	abus	14
392	abyan	1
393	abyssinian	1
394	academ	4
395	academi	2
396	acced	1
397	acceler	4
398	accent	1
399	accentu	2
400	accept	119
401	access	38
402	accid	19
403	accident	3
404	accommod	10
405	accompani	33
406	accomplic	1
407	accomplish	7
408	accord	143
409	accordion	1
410	account	87
411	accredit	1
412	accumul	2
413	accur	8
414	accus	131
415	accustom	2
416	ace	21
417	achiev	26
418	acid	2
419	acknowledg	54
420	acolyt	1
421	acosta	1
422	acquaint	1
423	acquiesc	1
424	acquir	5
425	acquisit	1
426	acquit	3
427	acquitt	2
428	acrimoni	2
429	acrobat	5
430	act	117
431	action	75
432	activ	60
433	activist	19
434	actor	4
435	actress	2
436	actual	61
437	ad	62
438	adam	7
439	adapt	4
440	add	15
441	adden	1
442	addit	65
443	address	59
444	adem	1
445	aden	122
446	adequ	5
447	adher	4
448	adjac	4
449	adjam	1
450	adjoin	3
451	adjourn	3
452	adjust	5
453	adlai	1
454	admen	1
455	administ	8
456	administr	96
457	admir	32
458	admiringli	1
459	admiss	2
460	admit	33
461	ado	2
462	adob	1
463	adolesc	2
464	adopt	16
465	adorn	1
466	adoubi	1
467	adrain	1
468	adrenalin	1
469	adriat	1
470	adult	7
471	advanc	54
472	advantag	15
473	adventist	1
474	advers	2
475	adversari	1
476	advertis	9
477	advic	6
478	advis	52
479	advisor	10
480	advisori	2
481	advoc	10
482	advocaci	2
483	aegi	5
484	aerial	3
485	aeroflot	1
486	affabl	1
487	affair	30
488	affect	28
489	affection	1
490	affili	6
491	affirm	6
492	afflict	1
493	afford	7
494	affront	1
495	afghan	13
496	afghanistan	34
497	afi	2
498	afibia	1
499	afield	1
500	afir	2
501	afloat	8
502	afoul	1
503	afraid	25
504	afredo	1
505	africa	37
506	african	44
507	aft	3
508	aftehock	1
509	aftermath	11
510	afternoon	26
511	aftershock	36
512	afterward	2
513	afundament	1
514	agarw	1
515	agassi	37
516	agbayani	1
517	age	27
518	agenc	81
519	agenda	9
520	agent	68
521	agglomer	1
522	aggrav	12
523	aggress	23
524	agil	1
525	agit	1
526	ago	88
527	agon	4
528	agoni	3
529	agonizingli	1
530	agre	73
531	agreement	44
532	agricultur	15
533	ahead	45
534	ahemdabad	1
535	ahm	15
536	ahmad	1
537	ahmadabad	1
538	ahmedabad	11
539	ahold	1
540	ai	1
541	aid	131
542	aida	2
543	ail	4
544	ailment	1
545	aim	35
546	ainst	1
547	air	153
548	aircraft	21
549	airdrop	2
550	airfield	1
551	airforc	1
552	airlift	4
553	airlin	5
554	airlock	1
555	airman	1
556	airmen	8
557	airplan	6
558	airport	33
559	airstrik	3
560	airwav	1
561	aisl	2
562	aj	1
563	ajax	1
564	ajnar	3
565	akaka	2
566	akan	2
567	akin	3
568	akishio	1
569	al	74
570	ala	2
571	alabama	4
572	alain	1
573	alami	1
574	alamoudi	1
575	alan	5
576	alarm	14
577	alasan	1
578	alaska	2
579	alaskan	1
580	alassan	27
581	albanian	17
582	albeit	4
583	albert	1
584	alberto	66
585	albright	40
586	album	1
587	alce	3
588	alcohol	2
589	alehandr	1
590	alejandro	14
591	aleksa	1
592	aleksandar	6
593	aler	1
594	alert	41
595	alessio	4
596	alex	9
597	alexa	2
598	alexand	8
599	alexei	1
600	alexeyev	1
601	alexsand	1
602	alfonso	1
603	alfr	2
604	alfredo	1
605	algeria	1
606	algerian	5
607	ali	43
608	alia	2
609	alibi	1
610	alien	3
611	alight	1
612	align	5
613	alija	1
614	alik	1
615	alisan	2
616	alisha	1
617	aliv	54
618	allah	1
619	allahbad	1
620	allan	1
621	alleg	67
622	allegedli	23
623	allegi	1
624	allen	18
625	allentown	1
626	alley	2
627	alleyway	1
628	alli	71
629	allianc	7
630	alliz	1
631	allot	1
632	allow	133
633	allud	2
634	allus	5
635	almagor	1
636	alongsid	39
637	alou	1
638	alphabet	1
639	alpin	1
640	alter	7
641	altern	12
642	altitud	1
643	altogeth	3
644	aluminum	2
645	alun	6
646	am	111
647	amad	3
648	amanda	17
649	amarillo	2
650	amartej	3
651	amaru	4
652	amass	4
653	amateur	2
654	amaz	7
655	ambassador	37
656	ambersag	1
657	ambigu	1
658	ambit	6
659	ambiti	2
660	ambival	2
661	ambul	7
662	ambush	1
663	ameli	6
664	amend	2
665	amerasian	1
666	america	54
667	american	319
668	americorp	1
669	amh	1
670	ami	2
671	amiabl	2
672	amic	1
673	amid	51
674	amidship	1
675	amin	1
676	amit	1
677	ammonium	1
678	ammunit	11
679	amnesti	2
680	amongst	2
681	amount	26
682	amphibi	3
683	ampl	2
684	ampli	1
685	amplifi	1
686	amput	7
687	ana	1
688	anacostia	1
689	analges	1
690	analysi	5
691	analyst	33
692	analyz	5
693	anarch	2
694	anathema	1
695	anatoli	8
696	anca	4
697	ancestor	2
698	ancestr	25
699	anchor	4
700	anchorag	1
701	anchorman	3
702	ancient	4
703	andean	6
704	anderson	4
705	andi	5
706	andjelkov	1
707	andr	48
708	andrea	14
709	andrei	2
710	andrew	14
711	andrik	1
712	anew	5
713	angel	12
714	anger	40
715	angl	9
716	anglican	1
717	angri	26
718	angrili	4
719	anguish	6
720	animist	2
721	animos	10
722	anjana	1
723	anjar	3
724	anjay	1
725	ank	2
726	ankl	2
727	ann	11
728	anna	20
729	annabel	1
730	annan	10
731	anniversari	10
732	announc	151
733	annoy	2
734	annual	17
735	annul	9
736	anonym	9
737	answer	33
738	antagon	1
